premise,hypothesis,label
11 this is a midlife crisis.,this is a crisis of being middle aged.  ,0
"rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session.",rhonda lipkin is from maryland.,0
they kept asking about the noise i heard.,they had a lot of questions about the noise.,0
"usually, clinton finds a way to reconcile the presidential and the political.",clinton usually reconciles the presidential and the political.,0
an indio name? ,a name that is indio?,0
well  he didn't have too good of opinion of it no i mean yes i did hear that and so um i do try to keep that in mind that whenever you're reading a paper it usually has a particular flavor,he didn't have a good opinion of it.,0
"to meet the family's extravagant debts, ground-floor rooms were turned into boutiques and cafe that attracted fashionable society, together with some shady hangers-on and intellectuals.",the boutiques and cafe attracted the desired clientele.,0
no one is going to better him in this area.,no one is going to beat him.,0
"the roman baths are still impressive with several large bathing areas, though the hot curative waters have been diverted to a modern pool and spa.",the curative waters of the roman baths are now sent to a modern pool.,0
uh in fact uh there was one lady in this area she was caught going to work and leaving her daughter in her car all day,there was one lady in the area that left her daughter in the car.,0
"it sits in the east of the country, 5-km (3-miles) south of the estuary of the river forth and 605-km (378-miles) north of london, the capital of the united kingdom.",it is north of london.,0
well no i worked for this company before i had my first daughter,"before my first daughter's birth, i was working for this company.",0
i'm sure he will he's not going to have problems there if not in the nfl then in one of the other leagues,"he will probably play for the nfl or if not, then in another league",0
"his name has been floated in the past few weeks, as it was in 1989 and 1994.",he has been mentioned recently as well as in 1989 and 1994.,0
the factual record provides an important context for consideration of the legal question of the meaning of the presence requirement for representation by lsc grantees.,the record provides important context.,0
"the bias continues in the united states, sometimes from the larger mexican mainstream.",the mexican population has been accused of bias. ,0
'you asked for a two week deadline?',i questioned the two week deadline.,0
"recent archaeological findings suggest that a site on the yamuna river may have been the home of mahabharata hero, yudhishthira, dating back to 1000 b.c.",yudhishthira may have lived near to the yamuna river.,0
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,"well, i listened to a christian radio sattion and uh, they were saying that cnn is definitely, definitely a world news service uh.",0
"culterlann na hireann holds a ceile (an evening of traditional song and dance), on friday nights in monkstown.",a ceile is an evening of traditional song and dance.,0
"in the on-field tournament, the vikings have the nfl's best record this year and set a record for points scored in a regular season, but the broncos are the defending champs and were undefeated until their final three games.",the vikings are going to win the super bowl.,1
it's like oh man,it's like i really got myself into a big mess,1
down there and uh we had a small um farm house out in castroville which is just uh to the west of san antonio,our farm house was small but we loved to live there.,1
the on-premises bindery repairs and restores old books and manuscripts.,the bindery is sometimes used for new books as well.,1
oh yeah he was so excited about going,i talked to him yesterday and he was very excited about going to work over there at the agency.,1
"this structure, like yomeimon, is also a national treasure and just as ornately carved and painted.",the yomeimon is older than this structure.,1
lower debt levels lead to lower interest payments-possibly at lower interest rates.,"the lower the level of debt, the lower the interest rate.",1
"well, then?",how much?,1
"award winner kathleen t. zellner of naperville, ill.'s zellner and; associates secured the release of three men sentenced to life for the 1986 rape of a chicago medical student.",they helped the three men who were falsely accused.,1
well i it i find it depressing to watch or especially tv you know it's  uh local news concentrates on murders and things like that i'm from dallas,the news broadcasts a lot of terrible things and it upsets me.,1
these statutes are laws that comprise the letter mail monopoly.,these laws comprise the usps monopoly.,1
