,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,i just want to say that the owner was not an asshole or did not follow us around  he was very helpful when we did ask for a certain record  i will agree tho that he is way over priced  my husband and i had a great time looking at all the records man that guys got a lot,0,0,0.24850727259530173,0.5386358305811882,0.21770623037262363,18,0
1,a first for me after two beers and waiting an hour we got up left our groupon on the table and walked out i cant rate nonexistant service i have truly never done that before were now at oreganos,1,0,0.2462885992667141,0.5609212666749954,0.2341844178663806,17,0
2,the owner looks like she comes from a refuge camp totally unkemptnvery crowed seating but food ok nothing special at all,2,0,0.24889803908749888,0.5331957966089249,0.21251302471618264,18,0
3,not a very experienced barista the place is roasting hot and the service was just meh i didnt get a very complicated drink just asked for short shots and didnt get them i really dont see what all the fuss is about i think i like the place up the street better,3,0,0.24848821782856315,0.5388816431164741,0.21848446060092988,18,0
4,compared to other starbucks in the area this is one i usually avoid unless i need to get on the freeway right after pretty slow service drinks are mediocre but what does it for me is that its never a welcoming experience here and the employees make me want to leave quicker than they can serve coffee,4,0,0.24997331767702222,0.5051654934883117,0.17934650679915856,19,0
5,we were in town and decided to try a new restaurant we didnt know it was a cold winter in hooters yes basically hooters with less clothes on or maybe more the food was okay it was nothing major to talk about the menu selection was small and it seem more of a bar atmosphere then a restaurant,5,0,0.24773837263344617,0.5475565701723099,0.22449077556734837,18,0
6,this location has closed,6,0,0.24694578730018826,0.44473506808280944,0.15170407569400604,17,0
7,ugh snore i felt like i was in someones poorly postmodern decorated living room really nothing to see here crowd is blah and there was no line at all not even guys bad sign the palms needs to reevaluate their clubsloungesbars because at this point the competition has way too much on them,7,0,0.24510692628065897,0.5699505090713501,0.23500751708892287,18,0
8,excellent wait staff and service this was the dinner option for the cirque de soleil beatles show  save your money and eat out separate from this placeyou will be glad you didnneverything was over cooked and the calamari could have been used as hockey pucks,8,0,0.24870806668575962,0.5359434738755227,0.2172805890502067,19,0
9,first time here and will tell u we sat there for 20 min and didnt even have anyone approach us for a drink order everyone that came in after us had service and drinks right away first and last time we will ever go there guess there was a reason we were avoiding that crappy service establishment,9,0,0.24461673803720416,0.5733707159757614,0.24333474642453687,18,0
10,front row seats  are a little too close    very loud  and kind of boring even though they did have a few good aspects as a tribute to the beatles,10,0,0.24895765363747877,0.532285389304161,0.19946461571529467,20,0
11,terrible service waited 30 min for waters then waited another 30 for a simple ceasar salad meanwhile while being ignored by my waitress to ask for silverware got up left and went to the cortez room where service is great skip this place,11,0,0.2460211246027071,0.5630783274769783,0.23072443850536803,19,0
12,sahara was perfect when i had the college students budget but ill never stay here again i dont even think i want to even walk in here again all the rooms smell like smoke even if its a nonsmoking room and the linens look like theyre been there since the hotel has opened,12,0,0.24708866767839668,0.553956763446331,0.22639450117367182,18,0
13,big letdown this has to be the worst service i have ever seen at hyatt pool was littered with empty cups and smelled like beer the staff would not clean up and not come around and ask if you are ok the swb was the worst restaurant experience i have had in years will not be back here again,13,0,0.2452654124102724,0.56880833953619,0.2373645112209707,18,0
14,everything here just seemed so very dry to me  like it was mass prepared a few days ago and they reheat it put sauce on it and serve it  the sushi felt the same way somehow,14,0,0.24875981860307306,0.5352162092924118,0.22262281967231407,17,0
15,long wait for food waitresses that dont know what theyre doing grumpy hosts and crappy food that keeps us off the lake for 2 hours is not somewhere i plan on going ever again,15,0,0.24731371245505124,0.5518294081091881,0.22247403470191246,18,0
