premise,label,hypothesis
"a company of handweavers has been working here since at least 1723, and visitors are able to watch them at work, but their products have become less distinctive since they expanded into a popular tourist attraction.",2,there are no handweavers working in the company.
"yes, i think that would be decidedly better.",1,of_text|><|start_header_id|>system<|end_header_id|>
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,0,of_text|><|start_header_id|>system<|end_header_id|>
well no i worked for this company before i had my first daughter,0,"'being a parent influenced my career choices, as evidenced by my employment before having my first daughter.'"
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,'midosuji doesn't have a favourite posing ground for osaka's youth.'
their conversations took place at precisely the moment the house reconsidered china mfn.,2,'conversations might have occurred before or after the house reconsidered anything.'
yeah oh that sounds fantastic,2,: 'it wasn't fantastic.'
"so i can't even imagine how you feel, after shadow-dancing with her for so long.",1,today date:   jul
"this structure, like yomeimon, is also a national treasure and just as ornately carved and painted.",1,of_text|><|start_header_id|>system<|end_header_id|>
"throughout the controversy, bennett has made much of the cause of truth with a capital t. his standard article, portentously titled clinton, gays, and the truth, accused the clintonites of scanting that important commodity.",2,: 'bennett has not accused the clintonites of scanting their time from being useful.'
limitations on total emissions. ,2,the complete abolition of emissions is more effective than just setting limitations.
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,0,'the speaker is talking to someone who might not be familiar with the definition of a news service.'
"yes, i think that would be decidedly better.",1,'he might have options beyond playing in the nfl.'
"award winner kathleen t. zellner of naperville, ill.'s zellner and; associates secured the release of three men sentenced to life for the 1986 rape of a chicago medical student.",1,of_text|><|start_header_id|>system<|end_header_id|>
"the roman baths are still impressive with several large bathing areas, though the hot curative waters have been diverted to a modern pool and spa.",0,today date:   jul
limitations on total emissions. ,2,total emissions would not have a significant impact on the environment if limitations are implemented.
their conversations took place at precisely the moment the house reconsidered china mfn.,2,'conversations never took place outside the house.'
"lsc has contracted with an independent research firm to develop and implement a pilot project at six lsc grantees that will gather the necessary information needed to create a reporting system that captures all the work of lsc grantees, not simply the traditional closed cases.",2,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
"culterlann na hireann holds a ceile (an evening of traditional song and dance), on friday nights in monkstown.",0,'people in monkstown participate in traditional song and dance on fridays regularly.'
"rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session.",0,of_text|><|start_header_id|>system<|end_header_id|>
"usually, clinton finds a way to reconcile the presidential and the political.",0,you are a helpful assistant.<|eot_id|><|start_header_id|>user<|end_header_id|>
oh yeah he was so excited about going,1,of_text|><|start_header_id|>system<|end_header_id|>
