label,text
0,why kind of dressing do you like on your salat? i prefer ranch? 
0,"see if this makes sense to you? if stetson is, as he claims to be, jesus. and now that he has declared that crazyman4040 is satan. does that make me the anti-christ?\n\n\nfor more details look at the answer given by stetson to crazymans question from yesterday.\n\nthe question asked was. what do you catholics and jews think about some christians saying that the pope and all of the jews are the anti-christ.\n\ncheck out stetsons answer to this before you post your answer here and tell me if i am the anti-christ."
0,"my son wrote a letter to santa and the letter that came back was postmarked from somewhere in india.? has santa been out-sourced? instead of his traditional red garb and cap, will this year's santa be wearing a dhoti?"
0,"i need this italian translated into english asap!? dov'e sei stata? ho molto sonno mi amore, a domani"
0,site for fort ross that i can use? facts
0,"i'm 6'1"", caramel complexion, 195lbs, athletic build & want to know how female feels about interracial dating? what nationality perfers asian"
0,what word? no more walking round with ma head down... \n\n\ni'm korean.\n\n\nwhat meaning of this sentence?\n\n\ni'd like to know..
0,what is the meaning of bonds of love in spanish? 
0,do you need formal training to do divination or have a certificate? i have studied divination and fortune  telling for quite awhile. i am curious whether a formal certificate is neccessary in order to do it for others beside friends or family like online. is proof neccessary?
0,why r a man become a rich person? 
0,"what's the most bizaare song that's been stuck in your head lately? not to long ago, i had ""the song that never ends"", & i was like ""what the fu(k? where'd that come from?"""
0,"speaking to jews? christians, how do you explain to a jew that they need to be a christian in order to be acceptable to god from a biblical point of view? considering that they don't believe in the new testament, what scriptures do you use from the hebrew scriptures to make your statement?"
0,"reasons for people going to the usa? (living/ working/ studying)? give me some serious answers, please. \npreferably by topics.\nthank you for your help!"
0,is the bible just a version of  aesop's fables? 
0,"mr. curious, what do you know about the mountain meadows massacre? "
0,is there any negative impact of the food fortification program? 
0,"does technology such as yahoo answers isolate people, or gather them? "
0,"why can't some people pick the correct category to post a question? i see questions here that have nothing to do with the category. why don't people take a little time and not post the question just any place, but the right place. that's kind of rude."
0,how do you say merry christmas in japanise? 
0,what is the hardest thing about moving to america?  tell me where you are from when you answer.? what is the hardest thing about living her for the first time after moving from another country.  state where you are from.
1,is it true we see with our brains rather than our eyes? 
1,"is infinite considered to be an integer? too many people who don't know what they're talking about responded to my other question with infinite.  that's not considered an integer, correct?"
1,i need math help...? payment standard-$655\ntotal tenant payment-$168\nmaximum subsidy-=$487\n\nmaximum subsidy-$487\n40 percent of monthly adjusted income-+$223\nmaximum allowable gross rent**-=$710
1,"toy has 4.45 in quarters and dimes.she has 8 more quarters than dimes,how many coins of each type does she has show your work"
