,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,"Who is John Macarthur , 1767-1834 ?",0,0,0.2479092095982788,0.5457251615822315,0.34571911801841326,12,0
1,What 2th-century fictional character attends Pencey Prep School ?,1,0,0.24981447797413028,0.5136206470429897,0.33565896265431977,10,0
2,What is the Viking Prince 's first name ?,2,0,0.2499992320016139,0.5008763551712037,0.3517143553201619,10,0
3,Boxing Day is celebrated on what date ?,3,0,0.24944943342088433,0.47653584480285643,0.32196445383976646,10,0
4,Who is Desmond Tutu ?,4,0,0.2479554968293351,0.5452161826193332,0.338654128372386,13,0
5,Who is the Antichrist ?,5,0,0.24907743803372961,0.5303737051784992,0.3413257529624792,13,0
6,What is the name of the firm that makes Spumante ?,6,0,0.24954322554052497,0.5213722825050354,0.3413544049882818,13,0
7,Who won a Pulitzer Prize for his novel The Caine Mutiny ?,7,0,0.24843768349538364,0.46047385036945343,0.33732880181622166,8,0
8,What college did Joe Namath play football for ?,8,0,0.2499481741119221,0.5071990199387073,0.3422459035581177,10,0
9,Name a band which was famous in the 1960 's .,9,0,0.2498799189152801,0.4890418484807014,0.32801259279424066,11,0
10,Who was Monet ?,10,0,0.24794199455559673,0.5453652448952198,0.33800019118037083,13,0
11,Who accompanied Space Ghost on his missions ?,11,0,0.24699420829510355,0.5548251010477543,0.3356568641469672,14,0
12,When was Lyndon B. Johnson born ?,12,0,0.24906983135292876,0.5304986663162709,0.3344031291659179,14,0
13,What president kissed the Queen Mother on the lips ?,13,0,0.24921929383153824,0.5279411196708679,0.33938065962032204,13,0
14,What kind of people took part in Shays ' Rebellion in Massachusetts in 1787 ?,14,0,0.2492429106649739,0.5275152564048767,0.33759545986824724,13,0
15,Who invented baseball ?,15,0,0.2490745867857611,0.5304206050932407,0.3514585181648686,11,0
16,Who leads the star ship Enterprise in Star Trek ?,16,0,0.2495799842425419,0.5204942859709263,0.33393046083246153,12,0
17,Who made a boat out of gopher wood ?,17,0,0.24960774019592352,0.5198055498301983,0.3431556584872125,13,0
18,Who does data collection in tourism ?,18,0,0.24995873473049124,0.5064238049089909,0.3467224198301821,12,0
19,What year did Rossetti paint `` Beata Beatrix '' ?,19,0,0.24981669084270608,0.513539171218872,0.3376365798985574,11,0
20,What plant has the largest seed ?,20,1,0.2398317071563802,0.600837953388691,0.34872681008074874,14,0
21,What animals did The Amazing Three masquerade as ?,21,1,0.23827544964786718,0.608279962837696,0.3537512692901059,14,0
22,What was FDR 's dog 's name ?,22,1,0.24235160290891777,0.5874551147222519,0.33701985470633605,14,0
