premise,label,hypothesis
"but, hey, where is the millennium?",2,"'hey, when is the millennium, if you don't mind me asking?'"
"they had sent the beard, as directed, to ""l. ",0,they forwarded the beard as directed by the authority or individual.
don't confine your visit to the mountain only.,0,'refrain from limiting your mountain excursions to just one area.'
a deep cleft creased his chin.,0,the deep chasm carved on his chin is visible.
"issues in data synthesis, eds.",0,problems persist in the data synthesis process.
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",2,it is false that ian wilmut is a biologist.
we come after senor juanito because he dropped his purse.,1,"'since senor juanito lost his wallet, we pursued him.'"
and be careful. the russian beckoned.,1,"""and mind your path. the russian gestured."""
but the standard for appointing an independent counsel can't be that broad.,2,'a tighter standard for the appointment of an independent counsel would be more suitable.'
oh are you in dallas,0,"""is your current home city dallas?"""
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,2,"'contrary to what you stated, it's possible that your professional organizations are selling their mailing lists.'"
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,2,"'in order to recover the loan, they must not get rid of the car.'"
don't confine your visit to the mountain only.,0,'broaden your mountain ventures to encompass further terrain.'
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",2,"'in stark contrast to the input suggesting michelangelo was among the numerous architects who contributed to st. peter's basilica, it remains uncertain whether he contributed in any way.'"
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,the arrival of a lawn mower with an engine replaced our manual labor for lawn maintenance.
"and as for hillary, forget it.",0,"moving on to hillary, no expectations should be set."
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,1,the family's decision to buy a riding lawn mower eliminated our weekly grass-cutting chores.
