,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,"nypd says it will track use of force, actually start disciplining cops “with transparency comes public understanding and with public understanding comes public support.""",0,0,0.24980507433526758,0.5139615781605243,0.30090190155996727,13,0
1,i am a veteran and here's why i changed my mind on colin kaepernick loving your country means shedding light on its shortcomings.,1,0,0.2483679687132826,0.5403984069824219,0.2832086830984123,15,0
2,this is where students get suspended from school the most the likelihood that a student will get suspended from school may have a lot to do with their geographic location. the u.s,2,0,0.24832076099093806,0.5409785188734532,0.30050127095094015,13,0
3,"hillary clinton educates zach galifianakis about sexist double standards on 'between two ferns' clinton: ""i really regret doing this."" 😂",3,0,0.2498892981984759,0.5105214923620224,0.3025433484448305,10,0
4,"one year after the supreme court's hb2 ruling, facts matter more than ever laws in several other states that were similar to hb 2 — and based on no evidence — have been struck down.",4,0,0.24618243629063752,0.5617864362895488,0.29947871631488004,14,0
5,"mayor of latvian capital: putin is 'best thing possible' for latvia the mayor of the latvian capital city riga, nil ushakov, stated yesterday in moscow that for latvia, ""the best thing possible right now is president vladimir putin."" his presence in moscow and his comments about putin illustrate how far the views of many latvians diverge from the western mainstream on relations between russia and the west.",5,0,0.24517996988404744,0.5694264367222786,0.2919154239672048,15,0
6,"longtime democratic rep. louise slaughter dies at 88 in 2007, she became the first woman to chair the powerful house rules committee.",6,0,0.24381198255369257,0.5786639526486397,0.2983075816100854,15,0
7,"fed up with politics, she left the u.s. 20 years ago. has anything changed? when the supreme court handed george w. bush the white house, jennifer berdahl knew democracy was broken.",7,0,0.24471537938651627,0.5726953960955143,0.2925329516130691,15,0
8,hong kong to push ahead with extradition bill that sparked huge protest hundreds of thousands marched sunday to protest amendments that would allow hong kong to send people to mainland china to face charges.,8,0,0.2448416286347239,0.571821802854538,0.2996802066992702,14,0
9,"elizabeth warren, sherrod brown will support ben carson's nomination to hud ""i will give dr. carson the benefit of the doubt based on commitments he has made to me,"" brown said.",9,0,0.24481917172683598,0.5719779707491398,0.2929601443650629,15,0
10,trump to nominate nfl team owner as ambassador to britain new york jets owner woody johnson will require senate confirmation to take up the post.,10,0,0.24785581819855323,0.5463053107261657,0.2912565763052758,14,0
11,"trump visits shooting victims, local police en route to mar-a-lago for long weekend the president praises first responders and medical staff but leaves some questions unanswered.",11,0,0.24744269416856063,0.550569811463356,0.29971458955722113,14,0
