,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,Premise: 11 this is a midlife crisis. Hypothesis: this is a crisis of being middle aged.  ,0,0,0.24694014232176748,0.44468401968479154,0.14889888087235947,18,0
1,"Premise: rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session. Hypothesis: rhonda lipkin is from maryland.",1,0,0.2497244339853769,0.48339981883764266,0.1718453702591012,18,0
2,Premise: they kept asking about the noise i heard. Hypothesis: they had a lot of questions about the noise.,2,0,0.24302485270394478,0.4164826527237892,0.12929127394587742,16,0
3,"Premise: usually, clinton finds a way to reconcile the presidential and the political. Hypothesis: clinton usually reconciles the presidential and the political.",3,0,0.24979198078714354,0.48557712882757187,0.1798421832119403,17,0
4,Premise: an indio name?  Hypothesis: a name that is indio?,4,0,0.24468288757593548,0.4270814672112465,0.1569176114380217,17,0
5,Premise: well  he didn't have too good of opinion of it no i mean yes i did hear that and so um i do try to keep that in mind that whenever you're reading a paper it usually has a particular flavor Hypothesis: he didn't have a good opinion of it.,5,0,0.24340652553214337,0.4187997877597809,0.12547253889847906,17,0
6,"Premise: to meet the family's extravagant debts, ground-floor rooms were turned into boutiques and cafe that attracted fashionable society, together with some shady hangers-on and intellectuals. Hypothesis: the boutiques and cafe attracted the desired clientele.",6,0,0.24088872762261238,0.40454701483249667,0.10592300186822841,17,0
7,Premise: no one is going to better him in this area. Hypothesis: no one is going to beat him.,7,0,0.24683489151969112,0.44374070316553116,0.14815826645001212,17,0
8,"Premise: the roman baths are still impressive with several large bathing areas, though the hot curative waters have been diverted to a modern pool and spa. Hypothesis: the curative waters of the roman baths are now sent to a modern pool.",8,0,0.24836076720787909,0.459512560069561,0.16065408686254407,17,0
9,Premise: uh in fact uh there was one lady in this area she was caught going to work and leaving her daughter in her car all day Hypothesis: there was one lady in the area that left her daughter in the car.,9,0,0.2483219559595091,0.45903606414794923,0.1648136221246075,17,0
10,"Premise: it sits in the east of the country, 5-km (3-miles) south of the estuary of the river forth and 605-km (378-miles) north of london, the capital of the united kingdom. Hypothesis: it is north of london.",10,0,0.24738207663720713,0.44883435368537905,0.1519389866841325,17,0
11,"Premise: well no i worked for this company before i had my first daughter Hypothesis: before my first daughter's birth, i was working for this company.",11,0,0.24607786619809327,0.43737305849790575,0.1314530952480481,17,0
12,"Premise: i'm sure he will he's not going to have problems there if not in the nfl then in one of the other leagues Hypothesis: he will probably play for the nfl or if not, then in another league",12,0,0.24510209570168012,0.4300149708986282,0.1546964472810837,17,0
13,"Premise: his name has been floated in the past few weeks, as it was in 1989 and 1994. Hypothesis: he has been mentioned recently as well as in 1989 and 1994.",13,0,0.2488154095651167,0.4655821204185486,0.17035938734846862,17,0
14,Premise: the factual record provides an important context for consideration of the legal question of the meaning of the presence requirement for representation by lsc grantees. Hypothesis: the record provides important context.,14,0,0.24586252302956824,0.4356767773628235,0.1346221622079071,17,0
15,"Premise: the bias continues in the united states, sometimes from the larger mexican mainstream. Hypothesis: the mexican population has been accused of bias. ",15,0,0.24787266094558139,0.4538769140839577,0.1682234519367618,17,0
16,Premise: 'you asked for a two week deadline?' Hypothesis: i questioned the two week deadline.,16,0,0.24827127542685226,0.4584220662713051,0.15868723937212695,17,0
17,"Premise: recent archaeological findings suggest that a site on the yamuna river may have been the home of mahabharata hero, yudhishthira, dating back to 1000 b.c. Hypothesis: yudhishthira may have lived near to the yamuna river.",17,0,0.2473983293140367,0.44899342507123946,0.15664238436691336,18,0
