label,text
0,"day of violence across iraq leaves 52 dead baghdad, iraq - a suicide car bomber slammed into a line of police cars sealing off a baghdad neighborhood friday as american troops rounded up dozens of suspected militants, capping a day of violence across iraq that left at least 52 dead.    among the 63 suspects arrested were syrians, sudanese and egyptians, officials said..."
0,"document on cpc governance capability issued the communist party of china (cpc) sunday published a major policy document on enhancing the party #39;s governance capability, stressing it is  quot;a major strategic subject with a bearing on the success of china #39;s socialist cause, the future and destiny of the "
0,"feds could sell off real estate, improve buying to save billions: brison (canadian press) canadian press - toronto (cp) - the federal government will look at selling off real estate and expanding its bulk buying as it aims to find  #36;12 billion of savings over the next five years, public works minister scott brison confirmed tuesday."
0,"rescued whales head out to sea as scientists blame weather for &lt;b&gt;...&lt;/b&gt; hobart, australia : rescuers succeeded in saving most of the whales still stranded on beaches in australia and new zealand as scientists pinpointed cyclical weather patterns as a likely cause of increased beachings."
0,"'resident evil' sequel tops box office los angeles - the undead came alive once more over the weekend as ""resident evil: apocalypse"" debuted at no. 1 at the box office, bringing in \$23.7 million..."
0,"topics a, b and c in run-up to debate: jobs, jobs and jobs john kerry will assail president bush tonight as the first president since herbert hoover to preside over a four-year term with fewer americans working than when he began."
0,"even greek grandmas root for the home team in 2000, greece brought home 13 medals. the greek olympic committee hopes to double that number."
0,"charges possible for dave matthews band chicago - authorities were considering criminal charges wednesday against the dave matthews band and one of its tour bus drivers for allegedly dumping human waste from a bus into the chicago river, dousing a tour boat filled with passengers.    the announcement came a day after the state sued the band and driver stefan wohl, accusing them of violating state water pollution and public nuisance laws..."
0,interpol experts at dhaka to help probe into al rally blasts an advance team of interpol flew in dhaka today (sunday) at the request of the government to investigate the august 21 grenade attack on opposition leader sheikh hasinas rally at bangabandhu avenue.
0,"kuwait kidnap firm to leave iraq a kuwaiti company bows to demands of kidnappers in iraq holding seven of its employees, saying it will halt operations there."
0,un nuclear chief wins s.korean cooperation pledge  seoul (reuters) - top international nuclear regulator  mohamed elbaradei won a pledge from south korea on monday to  cooperate with the u.n. watchdog in the run-up to a report that  seoul hopes will lift suspicions of clandestine atomic  activities.
0,iraq war crimes trials to begin next week iraq will bring top figures of saddam hussein  #39;s ousted regime to court next week for the first time since they appeared before a judge five months 
0,"chechen warlord threatens more attacks after beslan  moscow (reuters) - chechen warlord shamil basayev claimed  responsibility on friday for the russian school siege in which  more than 320 hostages were killed, half of them children, and  threatened more attacks by any means he saw fit."
0,"three dutch police injured in anti-terror raid suspects sought in a dutch anti-terrorism raid threw a hand grenade in a standoff with police on wednesday, injuring three officers, amid a spiral of violence following the killing of an outspoken filmmaker."
0,"arafat: speculation swirls paris - palestinian leader yasser arafat remained in an unchanged but still critical condition on saturday, with his closest adviser insisting that a recovery was possible."
0,us shrugs off report of ransom the bush administration yesterday gave italy the benefit of the doubt amid reports that rome had paid a terrorist group in iraq a \$1 million ransom to secure the release of two italian hostages.
0,"terror attack downed plane: russia moscowa terrorist attack brought down at least one of the two planes in this week #39;s near-simultaneous crashes in russia, authorities said yesterday after investigators sifting through the wreckage found traces of an explosive at one of the crash sites."
0,"what manmohan singh will likely to say in his address to unga in his maiden address to the unga, the prime minister will appeal to the world community to redouble its efforts to combat terrorism and build a strong case for india #39;s inclusion in the un security council."
0,"bush campaign trail stops at white house (ap) ap - enmeshed in his re-election campaign, president bush rarely spends a full day at the white house. but even when he does, presidential politics and campaign pitches remain close at hand."
0,post-beslan russia looks to us russia will move aggressively into the war against international terrorism by cooperating more closely with the united states. president vladimir putin on monday announced sweeping measures to beef up kremlin 
1,defense carries dallas the cowboys needed two things to avert an 0-2 start against the browns on sunday: defensive grit and the coaching of bill parcells.
1,"giants #39; rookie faces biggest game of career unbeaten and coming off his second career complete game, rookie noah lowry will try to continue his brilliant pitching when the playoff-hopeful san francisco giants wrap up a three-game series with the san diego padres."
1,"golf: singh hoping for 8th pga tour win world number-one vijay singh of fiji hopes to win his eighth pga tour event this year as he competes in the 84 lumber classic golf tournament beginning thursday, in pennsylvania."
1,"byu set to fire crowton provo, ut (sports network) - brigham young university has scheduled a news conference for wednesday afternoon at which time head football coach gary crowton will be fired."
1,gambill #39;s slump worsens delray beach  a return to one of his favorite and most successful atp tour stops wasn #39;t enough to stop jan-michael gambill #39;s slide.
1,schilling wants to quiet yankee stadium crowd (sports network) - the boston red sox acquired pitcher curt schilling in the offseason so they would be able to experience the jubilation of finally winning a world series for the first time since 1918.
1,"greek wins gold in judo athens, greece (sports network) - ilias iliadis captured greece #39;s second gold medal of the 2004 olympics with a thrilling victory over roman gontyuk of the ukraine in the men #39;s under 81kg category in judo on tuesday. "
1,american dwight phillips captures long jump gold dwight phillips of the united states completed a hat-trick of global long jump titles when he crushed the field with his opening leap in thursday #39;s final to win olympic gold.
1,"triumphant olympics end with pride and relief a nervous world learned the greek word for thank you and repeated it endlessly at an astonishingly successful athens olympics that quelled fears, surprised skeptics and greatly honored the birthplace of the games."
1,'dream team' out of gold race after loss to argentina  athens (reuters) - united states failed to reach the men's  basketball final for the first time in 16 years and italy  shocked previously unbeaten lithuania friday to set up an  olympic gold medal game that nobody expected.
1,brdc says no to more cash for fom the british racing drivers #39; club has refused to increased its bid for the british grand prix and the ping-pong game of who gets the blame for the demise of the event with the latest statement having lobbed the blame back into bernie ecclestone #39;s side of 
1,"martin defends record in year-end interviews prime minister paul martin was eager to touch on a number of issues, from missile defence to taxes to same-sex marriage, when he sat down for his annual year-end interview on tuesday."
