premise,hypothesis,label
charlotte square is arguably the jewel of the new town.,charlotte square is located in new town.,0
no not really you know in the last few years just his kind of informal segments i've seen but i never got to see his actual nightly news i liked i i did grow up with david brinkley,"i've only gotten to see his informal stuff, not the nightly news.",0
oh when i had the uh cats at my place as soon as i took out the newspaper to read it they would plop right down on top of it and just not move and just stay there forever,the cats used to love plopping on the newspapers.,0
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",cannibalism was very brave for carib warriors.,0
that's right i mean the israeli's aren't they're not afraid of anything,the israelis are fearless.,0
tim carvell's wrap-up,tim carvell is a public figure.,0
the man's right arm had been broken and completely twisted around.,the man was injured.,0
yes we we sure do smoke them and,they are smoked.,0
"161 ""no. ",absolutely not,0
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.","the lunar calendars vary each year, so it's difficult to give a precise date for most of the various festivals. ",0
mls is major-league sport with minor-league charm.,mls might have the charm of a minor league but is a major league sport.,0
i knew that.,i knew that.,0
um-hum oh no i think yeah my son's just in day care but even that they have extracurricular activities and the older they get the more that you're involved in that,"i think my son is just in day care, even though they have extracurricular activities, the older they get, the more you can get involved in that.",0
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",there are gay bars in dalt vila.,0
absolute power was the dominant feature of what post-revolutionary france called the ancien r??gime.,"one defining feature of france, at the time, was a tight grip on the area.",0
the preamble to the final rule discusses the comments received and the actions taken upon them.,the process for comments received and actions taken is already written. ,0
 the egg tilted and soared.,the egg shifted and flew.,0
"i must say ” ”"" but i stopped suddenly. ",i took a pause before saying,0
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",budgetary challenges could be affected by various things.,0
i'm exempt,i'm free from something.,0
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",the indians were the first to open tea gardens.,1
he said funding mechanisms such as small business grants were not always appropriate for researchers and wondered whether there were other funding mechanisms that might be more appropriate.,giving such grants to researchers also had the dual effect of taking funds away from business owners in need of capital.,1
legal aid has uncomfortable company.,legal aid has a lot to do to make their company comfortable.,1
people in hollywood accept this instability as the cost of doing business.,"people in hollywood accept that, because they have no choice.",1
"it might well, however, facilitate gay couples' efforts to adopt children.",pushing the bill through quickly may help gay couples to adopt children more easily.,1
"but if you're not watching close ly, you may miss the unprepossessing bust of christopher columbus perched atop a column in a little roadside square.",the bust of christopher columbus is only about eight inches high.,1
over time these distinctions have deteriorated.,the distinctions have gone away over the past three years.,1
yeah there there's a lot of energy i i i like to belly dance too but there's not the same you know you don't get the aerobic,i like to dance in general.,1
"no definitive number of americans who went over to the enemy is available, but moorer indicated there were scores.",moorer knew there were scores because he was told their was. ,1
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",suharto has been defeated because he has become weak.,1
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",other countries have better systems for mail delivery.,1
a drop-ship discount might also evoke type-1 worksharing activity.,people love to gossip at work. ,1
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",solomon succeeded him in 965 b.c. and made all of the lands between the nile and euphrates river apart of israel.,1
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",exchange revenues are taxed at a different rate than other times of revenue.,1
"this little corner of england is such a beautiful and valued region, however, that policy makers and conservationists have worked tirelessly over the last hundred years to protect it.",policy makers and conservationists have had to spend a lot of money to protect this corner of england.,1
"the critical instance case study examines one, or very few, sites for one of two purposes.",there are two purposes.,1
