premise,hypothesis,label
"this original doctrine, without any sense of buddha's divinity, was embraced by the hinayana (lesser vehicle) school which spread to sri lanka, burma, and thailand, as well as cambodia and laos.","the original doctrine that had no trace of buddha's divinity spread to sri lanka, burma, laos, cambodia, and thailand.",0
" if you're willing to wander off the beaten track you should be able to find cliff-backed coves with clear, blue water or patches of sand scarcely large enough for two families.",if you are wanting to wander off the path you should find water and sand.,0
"the pedestrian plaza in the city centre is bounded at one end by the ulu camii (great mosque), built in the 14th century with stone quarried from uluda .",the pedestrian plaza is in the city centre.,0
"super-paradise, in the next bay, is a gay, clothing-optional beach.",super-paradise is a clothing optional beach.,0
don't confine your visit to the mountain only.,do not limit your exploration solely to the mountain. ,0
"they had sent the beard, as directed, to ""l. ","they had delivered the beard, as per the order.",0
i had to be guarded in what i said.,protection was needed while speaking. ,0
well you weren't charging gold and silver were you you can't do that can you,you can't charge for precious metals like gold and silver.,0
"and as for hillary, forget it.","and with regard to hillary, don't have any hopes.",0
"like, thank god for",i wanna thank god.,0
this ricardian equivalence hypothesis holds that people are forward-looking and recognize that current government surpluses or deficits affect government debt and future tax rates.,foresight of the people is assumed in the ricardian equivalence hypothesis.,0
a deep cleft creased his chin.,he had a cleft in his chin.,0
right exactly i was a i was a boy scout and as part of being a boy scout you had to do you know projects all throughout and then to become an eagle scout you have to spend a do a year long project for,i used to be a boy scout.,0
oh are you in dallas,are you living in dallas?,0
"subsequent to the issuance of the ffc report, nasa received iso 9000 certification for its headquarters office and each of its centers.",the ffc report led to iso 9000 certification.,0
i took the oilskin packet from round my neck and shoved it right in as far as i could.,i took the packet from my neck and pushed it to the right.,0
i've seen on tv where they take animals and young children in fact my daughter is one my wife took my daughters one year when they were getting some points for school took them to an elderly home and boy that really pumps them up that uh,"they take animals and young children, i've seen it on tv.",0
"issues in data synthesis, eds.",the data synthesis has problems.,0
"one possibility is that studies report different estimates of the single true relationship between a given pollutant and a health effect due to differences in study design, random chance, or other factors.",the studies have various reports.,0
that's what we that's the way we call it which is really wrong but my wife's mother and the one she's in san antonio it's you know it's everything but the opposite of what you've seen i mean it's it's a little hotel hotel you might say,"we call it that even though it's not right, and it's the opposite of what you've witnessed.",0
yeah that's too bad because i mean i've been in the carolinas and you know there are some places in the carolinas it's really nice there,i've been to all the nice places in the carolinas.,1
"even though quantifiable data was lacking during most of 1998, lsc had sufficient information to begin taking actions to address the problems.",data was lacking during 1998 because reporting requirements weren't yet in place.,1
foreign ships carried new diseases to the islands as well.,the ships were no good. ,1
"so unlike the truly new generation, i wasn't faced with the debt burden.",the new generation has substantial debt burden.,1
"i already know i am an idiot, but am i to be a happy idiot or a miserable one?",i have known i was an idiot for my whole life.,1
uh they finally got smart and got a riding lawn mower which was a big improvement for for us  us kids who had to go out there and uh mow the the grass every every week,the riding lawn mower comes with heated seats and airbags.,1
the two aicpa field work standards for attestation engagements are as follows.,there are aicpa field work standards that the government workers must follow.,1
l. 104134 directed the department to issue interim regulations within 30 days of the date of enactment.,the department had been slow to issue interim regulations in the past with its enactments.,1
prairie state will share the money with the county.,the county desperately needed the funds.,1
"most of madeira's good hotels have their own swimming pools, but if yours doesn't, year-round swimming is open to the public at the excellent complexo balnear do lido (lido swimming complex; tel. 291/762 217) in funchal's tourist zone.",complexo balnear do lido has a year round public swimming pool.,1
"it is also said that seleyman, in awe of his architect's achievement, handed the keys to sinan at the inauguration ceremony and allowed him the privilege of opening it.","supposedly, sinan was the only architect who was ever granted this privilege.",1
you know they match it um my wife used to they matched hers only hers was a little bit better than ours um she hasn't been working for a couple of years her father took sick so she's been taking care of him,my wife had to leave to go to her father's place.,1
and be careful. the russian beckoned.,and watch your step. the russian summoned.,1
'indeed he is.',he is indeed a threat to society.,1
"their ventures into social topics focus on alcohol, drugs, domestic violence, adultery, divorce, illegitimacy, crime, and urban decay.",they have interviews with alcoholics and divorced parents.,1
we come after senor juanito because he dropped his purse.,"juanito, in dropping his coin bag, haad made them come after him.",1
"try to arrive as the chapel opens or at sunset (see page 39) and make your way to the upper level, where light blazes in through 15 stained-glass windows separated by buttresses so slim that there seems to be no wall at all.","most chapels have at least two levels, as the upper level sometimes houses the choir.",1
"you will probably find the island mascot petrosea pelican (the older petroseow has two young apprentices, both also called petrosewaddling among the boats, hoping for a fishy tidbit.",the petrosea pelican are very popular among tourists.,1
"give yourself a bare minimum of three days, time to get lost (you're never very far from the main landmarks signposted with bright yellow arrows).",you should check out all of the trails.,1
"also health club, sauna, turkish bath, jacuzzi.",it has a jacuzzi and health club on the third level.,1
"mr. hastings, she said, ""do you think i and my husband are happy together?"" i was considerably taken aback, and murmured something about it's not being my business to think anything of the sort. ","she asked me whether i really thought she and her husband were happy together - joking around, as usual.",2
"it is difficult to believe that these bizarre shapes, staircases going nowhere, and windows in walls without rooms were built in 1724 by a serious student, rather than in the last century by some deranged architect.",it's obvious that a deranged architect designed this building with non-functional staircases. ,2
in some states yeah because it's reasonable now uh you know me with me being from louisville i'm going to say at louisville is unfair because louisville's got the highest uh uh the line the line the line drawn i don't know the correct word for it  but louisville's is higher than most other universities and,louisville is pretty easy compared to most states.,2
"the cook may be from valencia, the cuisine advertised as  french,  and the customer may want nothing more daring than a steak.","when the food is doesn't challenge the customer to try new things, the customer will become bored.",2
we don't expect badinage from the pillsbury doughboy or banter from betty crocker.,they expect much from pillsbury doughboy or betty crocker.,2
"apaches, they are not stupid.",apaches are the dumbest of them all. ,2
"st. peter's basilica is the largest of all roman catholic churches and by any standards a grandiose achievement, but it inevitably suffered from the competing visions of all the architects called in to collaborate bramante, giuliano da sangallo, raphael, baldassare peruzzi, michelangelo, giacomo della porta, domenico fontana, and carlo maderno each adding, subtracting, and modifying, often with a pope looking over his shoulder.",michelangelo was not involved in st. peter's basilica.,2
but the standard for appointing an independent counsel can't be that broad.,the standard for appointing and independent counsel should be made broader.,2
"on the subject of clinton's aggressive fund raising, morris recently told the new york daily news , i just think he overdid it.",the new york daily news has not received any comment from morris.,2
"expenses are reported on an accrual basis, including contractual amounts due for counseling services",the expenses are reported on a yearly basis.,2
"elementary, my dear watson the smell of onions is unmistakable.""","it's not apparent, but it smells like asparagus. ",2
and uh of course there's another aspect of this too uh in terms of invasion of privacy i just thought about it being a professional and of course you probably belong to one or more professional organizations and that is that some of the organizations sell their mailing lists,none of the organizations that you are affiliated with sell their mailing lists. ,2
"some are put off by the cost of a hiring a divorce lawyer, which starts at about $1,500.",it is free to get divorced.,2
oh i've seen that yes,i haven't seen that.,2
oh those hedges when they started moving whenever they  they made that into a movie i was thinking oh my gosh if they show that i'll just die for some reason that scared me more than anything,i haven't ever seen a scary movie in my life.,2
and so they've already shifted the risk if they assume that car then they just have to sell it themselves and they'll recover the loan,they need to keep the car to recover the loan.,2
"but, hey, where is the millennium?","hey, what is the millennium?",2
is the cost-cutting story plausible?,i know you know that story is wrong.,2
"biologist ian wilmut's team also cloned lambs out of dna derived from sheep-fetus fibroblasts, cells found in connective tissue.",ian wilmut does not work as a biologist.,2
"these havens of relaxation set among golf courses, gardens, and orchards still do the mountain ranges of the peninsula's interior, but they are now holiday resorts.",the gardens are a stressful place to be.,2
