premise,label,hypothesis
legal aid has uncomfortable company.,1,start_of_turn>model
i'm exempt,0,there is a specific rule or regulation that does not apply to me.
mr. hubbock also designed the masjid jamek.,1,start_of_turn>model
tim carvell's wrap-up,0,tim carvell compiled a concise overview.
how were discrepant findings resolved?,1,different research methods were used to obtain the conflicting results.
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",1,the presence of tea gardens may impact the local economy.
"this little corner of england is such a beautiful and valued region, however, that policy makers and conservationists have worked tirelessly over the last hundred years to protect it.",1,the past century has seen significant progress in preserving the region's natural environment.
"thus, i have never even touched a girl, much less kissed one.",2,i have been physically intimate with a girl.
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,2,the city did not set up curbside recycling bins for all home owners.
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,let me know if you need more examples!
"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war).",2,start_of_turn>model
that hit him harder than any other discovery.,1,the discovery changed his perspective.
"it might well, however, facilitate gay couples' efforts to adopt children.",1,the debate regarding adoption rights for gay couples is ongoing.
humidity or something,2,let me know if you'd like more examples!
uh-hum probably you read a book review or something some kind of review on it,2,let me know if you'd like more examples!
that hit him harder than any other discovery.,1,this particular discovery had a significant impact on him.
"all is forgiven when tarzan (the voice of tony goldwyn) meets minnie driver--i mean, jane.",2,the character of jane does not exist in the tarzan stories starring tony goldwyn's voice.
i'm exempt,0,i have been specifically excluded from a particular requirement or restriction.
uh-hum probably you read a book review or something some kind of review on it,2,you are unfamiliar with any reviews of this item.
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,the imprecise nature of lunar calendars makes it difficult to consistently schedule festivals.
humidity or something,2,start_of_turn>model
he said funding mechanisms such as small business grants were not always appropriate for researchers and wondered whether there were other funding mechanisms that might be more appropriate.,1,the speaker acknowledges the limitations of traditional funding methods for researchers.
people in hollywood accept this instability as the cost of doing business.,1,tart_of_turn>user
"thus, i have never even touched a girl, much less kissed one.",2,tart_of_turn>user
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",1,the tea gardens offer a scenic and potentially educational experience.
"161 ""no. ",0,the previous statement was rejected.
"before function is compromised, problematic consumption occurs.",2,problematic consumption is independent of the state of a function.
i knew that.,0,start_of_turn>model
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,2,most local businesses did not set up recycling stations in their parking lots.
that hit him harder than any other discovery.,1,the discovery was unexpected.
"it might well, however, facilitate gay couples' efforts to adopt children.",1,let me know if you'd like more examples!
"it might well, however, facilitate gay couples' efforts to adopt children.",1,adoption processes for gay couples can be complex.
humidity or something,2,there is no notable moisture in the air.
over time these distinctions have deteriorated.,1,let me know if you'd like more examples!
over time these distinctions have deteriorated.,1,the specific distinctions in question have become less clear.
 the egg tilted and soared.,0,the egg was airborne.
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,**it remained the size of a football throughout the entire time.**
humidity or something,2,tart_of_turn>user
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",2,"each of these hypotheses directly opposes the idea that kurashiki's canals and willow trees are a ""reverse comment on the horrors of war."""
they are not important. ,2,tart_of_turn>user
'what's it like to be back in louisian?',2,let me know if you'd like more examples!
"i must say ” ”"" but i stopped suddenly. ",0,start_of_turn>model
a drop-ship discount might also evoke type-1 worksharing activity.,1,let me know if you'd like more examples!
over time these distinctions have deteriorated.,1,the criteria used to make these distinctions have become less robust.
mr. hubbock also designed the masjid jamek.,1,mr. hubbock's architectural career spanned numerous projects.
