,guid,index,label,threshold_closeness,confidence,variability,correctness,forgetfulness
0,truly meh the cutters cigar bar is nice so i had high expectations well you know the rest of the story i guess the idea was to let the hotel guests in shorts and colorful polos eat there because charlotte has nothing better to offer not almost everywhere else in charlotte center city is better,0,0,0.24982662454359525,0.4868327885866165,0.21354316416102057,14,0
1,very very disappointed starting with the parking situation  then when you are in there it is dirty  ordered the combo fried rice went home because after being there i had to get home to take a shower fried rice was inedible  will never return there again,1,0,0.2499969427607098,0.5017484962940216,0.22307761076125052,14,0
2,smallest papaya salad i ever seen pad see ew lack of flavorbut the pad thai was goodmsg for sure its in the dishes average dish 750 throat was dry after eating here,2,0,0.24866755477464308,0.4634973257780075,0.20063440994043433,8,1
3,its been a while since ive been here and the menu has changednot for the better menu seems more mainstream now  and no potato pancakes,3,0,0.24996678538921407,0.49423678815364835,0.20992481371402963,15,0
4,for the amount of money i spend in this location i demand respect these workers are rude down right jack asses  thats a donkey i can not believe the way they treat people,4,0,0.24996030721051798,0.5063002213835717,0.22257559720819667,15,0
5,eh i know its only fast food but how many idiots are working in the kitchen i wish there was a closer one so i could go there in the hopes that theyd get our order correct,5,0,0.24995613267461111,0.49337675869464875,0.2212810099797498,14,0
6,for those who came here because the buffet line was too long go back to the buffet,6,0,0.24952509273614765,0.47820763289928436,0.21445865191925934,9,1
7,ju00e9tais un habituu00e9 de ce resto sur la rue stdenis  je nai pas aimu00e9 mon repas  il y a tellement de bons choix dans louest de montru00e9al  jirai ailleurs,7,0,0.24960245900155506,0.5199384301900863,0.2269065699165308,15,0
8,very dissappointed to find that they substantially lowered that qualities as well as quantaties when i drop by last monday and dont go there on working days since they dont have unlimited wines or lobsters on that daysthis embrassed me a lot as i brought my friends here for these,8,0,0.24999895205185813,0.49897630661726,0.21499880820010026,15,0
9,cute gimmick of a place if youre bringing the wife and kids and maybe grandma too if youre younger or single and looking for a hip party this is a complete waste of your time head to cosmo or encore pools instead,9,0,0.2493925932391061,0.47535437643527984,0.1993161751132965,14,0
10,food was allright but not sure of it was worth the price the service was pore dont see any reason to ever return,10,0,0.24668179377940053,0.4423961266875267,0.18237678624846987,7,0
11,horrible service horrible food bad experience so basic the decor is nice which is why they get the one star but the waiter was rude the food tasted horrible the beef taco carbon or whatever was horrible dont get it the pancho nachos suck the only good thing is the salsa and the creamy jalapeu00f1o,11,0,0.24916843328457267,0.4711631014943123,0.21186909021007377,12,1
12,the dim sum here are bad everything was salty and bland need i say more vegas really needs a good dim sum place,12,0,0.2499599109892462,0.5063315883278847,0.22241265440014377,14,0
13,my 2015 coins got me little of merit  how could it  over five blocks i believe the total number of local restaurants was 30  is that really possible  all in allit blew,13,0,0.24990801749654704,0.49040924906730654,0.2092725216371063,15,0
14,they are always accommodating with getting us in quick and getting our booth food is great but when did the portion sizes become so small i ordered the chicken tender meal which was literally baby sized i think a kids meal gives me more food portion size and price do not meet my standards,14,0,0.24774232459510404,0.45248499810695647,0.18433656875578222,12,1
15,i got double booked for christina  i have never had this happen to me in 4 decades of going to salons  its bad business practice and doesnt say much as far as respect for the client  my time is valuable i adjusted my schedule to get there for my appointment timely,15,0,0.24989840148527714,0.4899203911423683,0.2133694476973416,14,0
16,overrated bbq baby backs ribs were a lil tough and not even close to falling off the bone potato salad was fine but the cole slaw and rudy beans were horriblenthe chicken was a little dry but is probably the only saving grace at rudysnnshould have driven to lucilles in tempe,16,0,0.24985886684070732,0.4881200522184372,0.21821559553660105,10,0
17,catelyn the blonde heavy set cashier with glasses is a rude btch store was messy  i will not return or give this store my business ever again i love the pet smart off eastern  silverado ranch their staff is always friendly  helpful,17,0,0.2494306665483994,0.4761392906308174,0.21293760059463498,12,1
18,so disappointing the service and presentation were outstanding the food was underwhelming if only it tasted as good as it looked since when is foam considered an exciting edible item best part was the bread cart,18,0,0.2497268665433583,0.48347325026988985,0.21479443993802935,13,0
19,ive only ate here once my freshman year in 2003shortly there afterwards i stole their wasabi banner hanging on the railing outside and never have been there since  yes it was planned and no i do not have it anymore,19,0,0.24984126387638436,0.5125990524888039,0.2205728359215586,14,0
